year,total_runoff_GL
2001,5875.126886825397
2002,4126.381506984127
2003,3468.787212634921
2004,4899.699974571429
2005,5147.436332809524
2006,5071.388310857143
2007,3553.189266746032
2008,4313.951889746032
2009,4628.444545214286
2010,6095.0045007936515
2011,9797.941556984128
2012,7638.848806031746
2013,3579.534460857143
2014,4600.121757301587
2015,4347.5945387460315
2016,4555.018352603175
2017,6646.312411904762
2018,4175.008067142857
2019,3659.8723753809522
2020,4664.240770968254
2021,5799.937308222222
