year,state,runoff_GL
2001,NSW,4021.40891
2001,SA,216.25006
2001,VIC,1637.467916825397
2002,NSW,2712.17939
2002,SA,212.31204
2002,VIC,1201.890076984127
2003,NSW,2347.94526
2003,SA,169.24936
2003,VIC,951.592592634921
2004,NSW,3453.103466
2004,SA,187.27293
2004,VIC,1259.323578571429
2005,NSW,3337.360819
2005,SA,216.16005
2005,VIC,1593.915463809524
2006,NSW,3297.254933
2006,SA,293.57835
2006,VIC,1480.555027857143
2007,NSW,2343.590709
2007,SA,202.29864
2007,VIC,1007.2999177460321
2008,NSW,3097.38739
2008,SA,157.916778
2008,VIC,1058.647721746032
2009,NSW,3408.6104729999997
2009,SA,171.085124
2009,VIC,1048.748948214286
2010,NSW,3933.58905
2010,SA,307.0492
2010,VIC,1854.366250793651
2011,NSW,5928.1254
2011,SA,524.45028
2011,VIC,3345.3658769841268
2012,NSW,5384.28761
2012,SA,305.35745
2012,VIC,1949.203746031746
2013,NSW,2477.667483
2013,SA,144.59118
2013,VIC,957.275797857143
2014,NSW,2819.03317
2014,SA,272.18104
2014,VIC,1508.9075473015869
2015,NSW,3029.280653
2015,SA,189.810834
2015,VIC,1128.503051746032
2016,NSW,3057.738463
2016,SA,192.71548
2016,VIC,1304.5644096031751
2017,NSW,4253.88635
2017,SA,361.0432
2017,VIC,2031.382861904762
2018,NSW,2632.14584
2018,SA,177.50001
2018,VIC,1365.362217142857
2019,NSW,2360.675101
2019,SA,148.07239
2019,VIC,1151.124884380952
2020,NSW,3013.9498869999998
2020,SA,204.21215
2020,VIC,1446.078733968254
2021,NSW,4173.142046
2021,SA,184.73195
2021,VIC,1442.063312222222
